id,run_id,pipeline_name,batch_id,log_date,log_hour,error_request_count,total_request_count,error_rate,distinct_error_hosts
266358,16,hive,1,1995-07-13,8,12,2122,0.57,7
266359,16,hive,1,1995-07-13,9,3,2812,0.11,2
266360,16,hive,1,1995-07-13,10,5,2062,0.24,2
266361,16,hive,1,1995-07-13,11,4,1712,0.23,3
266362,16,hive,1,1995-07-13,12,4,1737,0.23,4
266413,16,hive,1,1995-07-15,15,0,122,0.00,0
266414,16,hive,1,1995-07-15,16,0,160,0.00,0
266415,16,hive,1,1995-07-15,17,0,80,0.00,0
266416,16,hive,1,1995-07-15,18,0,134,0.00,0
266417,16,hive,1,1995-07-15,19,0,192,0.00,0
266418,16,hive,1,1995-07-15,20,0,56,0.00,0
266419,16,hive,1,1995-07-15,21,0,30,0.00,0
266420,16,hive,1,1995-07-15,22,0,22,0.00,0
266421,16,hive,1,1995-07-15,23,0,64,0.00,0
266422,16,hive,1,1995-07-16,0,0,6,0.00,0
266423,16,hive,1,1995-07-16,1,0,34,0.00,0
266424,16,hive,1,1995-07-16,2,0,55,0.00,0
266425,16,hive,1,1995-07-16,3,0,5,0.00,0
266426,16,hive,1,1995-07-16,4,1,8,12.50,1
266427,16,hive,1,1995-07-16,6,0,2,0.00,0
266428,16,hive,1,1995-07-16,7,0,17,0.00,0
266429,16,hive,1,1995-07-16,8,0,28,0.00,0
266430,16,hive,1,1995-07-16,9,0,33,0.00,0
266363,16,hive,1,1995-07-13,13,6,1388,0.43,5
266364,16,hive,1,1995-07-13,14,6,1613,0.37,2
266365,16,hive,1,1995-07-13,15,16,1435,1.11,1
266366,16,hive,1,1995-07-13,16,8,1238,0.65,2
266367,16,hive,1,1995-07-13,17,0,251,0.00,0
266368,16,hive,1,1995-07-13,18,0,477,0.00,0
266369,16,hive,1,1995-07-13,19,4,145,2.76,2
266370,16,hive,1,1995-07-13,20,1,128,0.78,1
266371,16,hive,1,1995-07-13,21,0,174,0.00,0
266372,16,hive,1,1995-07-13,22,0,25,0.00,0
266373,16,hive,1,1995-07-13,23,0,186,0.00,0
266374,16,hive,1,1995-07-14,0,0,128,0.00,0
266375,16,hive,1,1995-07-14,1,2,121,1.65,1
266376,16,hive,1,1995-07-14,2,1,50,2.00,1
266377,16,hive,1,1995-07-14,3,0,61,0.00,0
266378,16,hive,1,1995-07-14,4,2,158,1.27,1
266379,16,hive,1,1995-07-14,5,2,212,0.94,1
266380,16,hive,1,1995-07-14,6,0,389,0.00,0
266381,16,hive,1,1995-07-14,7,0,683,0.00,0
266382,16,hive,1,1995-07-14,8,6,1041,0.58,4
266383,16,hive,1,1995-07-14,9,10,1072,0.93,7
266384,16,hive,1,1995-07-14,10,9,1168,0.77,7
266385,16,hive,1,1995-07-14,11,6,882,0.68,4
266386,16,hive,1,1995-07-14,12,3,869,0.35,3
266387,16,hive,1,1995-07-14,13,3,963,0.31,2
266388,16,hive,1,1995-07-14,14,1,1065,0.09,1
